Game,Date,A,B,C,D,E,F
665,02/12/2020,7,14,17,21,27,39
666,05/12/2020,3,6,15,22,25,26
667,09/12/2020,9,12,18,28,33,38
668,12/12/2020,1,4,11,15,23,38
669,16/12/2020,12,17,18,19,29,32
670,19/12/2020,2,6,15,26,36,37
671,23/12/2020,6,7,8,24,27,31
672,26/12/2020,1,12,13,25,26,38
673,02/01/2021,3,7,13,30,35,37
674,06/01/2021,12,27,34,35,37,39
675,09/01/2021,8,15,16,22,25,38
676,13/01/2021,9,12,13,18,19,34
677,16/01/2021,4,5,8,19,32,34
678,20/01/2021,5,10,14,17,26,29
679,23/01/2021,8,13,19,24,31,32
680,27/01/2021,23,31,33,34,36,39
681,30/01/2021,5,8,12,15,21,33
682,03/02/2021,2,6,10,13,34,37
683,06/02/2021,7,8,10,13,18,21
684,10/02/2021,1,6,7,8,16,25
685,13/02/2021,1,8,11,22,30,35
686,17/02/2021,1,10,23,24,26,38
687,20/02/2021,4,12,16,27,31,35
688,24/02/2021,1,10,12,13,18,28
689,27/02/2021,10,14,24,34,37,39
690,03/03/2021,10,14,19,28,30,37
691,06/03/2021,2,4,13,31,36,40
692,10/04/2021,2,15,21,25,32,39
693,14/04/2021,4,11,13,19,35,37
694,17/04/2021,7,19,32,35,36,38
695,21/04/2021,3,14,22,23,25,37
696,24/04/2021,1,4,21,28,31,32
697,01/05/2021,11,12,13,21,30,40
698,05/05/2021,2,3,7,10,23,34
699,08/05/2021,8,11,13,17,22,27
700,12/05/2021,1,29,30,33,39,40
701,15/05/2021,3,13,19,34,38,40
702,19/05/2021,3,6,11,17,23,34
703,22/05/2021,8,9,20,28,37,40
704,26/05/2021,4,8,18,19,33,38
705,29/05/2021,1,10,20,22,24,25
706,02/06/2021,4,6,16,18,20,32
707,09/06/2021,15,23,25,32,37,40
708,12/06/2021,2,6,7,8,16,38
709,16/06/2021,3,12,19,25,35,40
710,19/06/2021,8,17,19,21,29,37
711,23/06/2021,1,9,12,18,23,26
712,26/06/2021,1,12,18,22,25,31
713,30/06/2021,9,23,26,27,31,38
714,03/07/2021,4,18,22,29,31,33
715,07/07/2021,17,25,27,37,38,39
716,10/07/2021,2,10,11,26,32,33
717,14/07/2021,2,6,13,16,27,33
718,17/07/2021,5,13,14,17,28,40
719,21/07/2021,5,9,25,27,32,40
720,24/07/2021,2,3,5,8,14,39
721,28/07/2021,3,4,17,21,25,40
722,31/07/2021,1,6,18,21,23,30
723,04/08/2021,9,17,23,26,30,39
724,07/08/2021,2,3,12,15,18,22
725,11/08/2021,8,18,24,28,29,34
726,14/08/2021,4,11,15,21,31,34
727,18/08/2021,2,4,16,17,38,40
728,21/08/2021,7,10,24,26,32,37
729,25/08/2021,6,7,11,15,19,39
730,28/08/2021,1,6,13,25,28,38
731,01/09/2021,7,10,20,28,31,34
732,04/09/2021,9,13,15,17,25,30
733,08/09/2021,1,8,9,11,17,33
734,11/09/2021,10,11,19,22,29,34
735,15/09/2021,1,7,11,26,37,40
736,18/09/2021,1,4,17,18,22,38
737,22/09/2021,7,8,10,23,33,34
738,25/09/2021,1,2,12,24,32,38
739,29/09/2021,11,16,20,24,27,32
740,02/10/2021,5,23,24,28,29,34
741,06/10/2021,13,21,25,27,31,37
742,09/10/2021,4,15,16,17,27,39
743,13/10/2021,9,11,14,22,23,34
744,16/10/2021,3,13,16,18,31,34
745,20/10/2021,4,14,18,31,33,38
746,23/10/2021,1,3,4,12,29,35
747,27/10/2021,4,7,9,17,20,35
748,30/10/2021,5,7,21,22,30,38
749,03/11/2021,7,13,18,19,32,36
750,06/11/2021,5,6,21,24,26,34
751,10/11/2021,17,22,27,33,39,40
752,13/11/2021,6,19,24,27,29,35
753,17/11/2021,5,17,21,25,28,34
754,20/11/2021,4,6,15,18,27,37
755,24/11/2021,1,9,15,16,28,38
756,27/11/2021,8,23,24,27,33,36
757,01/12/2021,15,16,24,26,29,37
758,04/12/2021,13,16,18,21,38,39
759,08/12/2021,5,6,10,11,16,27
760,11/12/2021,1,3,9,10,33,35
761,15/12/2021,2,3,7,27,37,39
762,18/12/2021,3,10,17,18,30,31
763,22/12/2021,2,16,26,27,33,39
764,25/12/2021,1,2,13,26,33,35
765,29/12/2021,11,13,16,25,30,31
766,01/01/2022,6,12,20,24,28,29
767,05/01/2022,3,9,13,15,17,35
768,08/01/2022,1,2,24,25,28,39
769,12/01/2022,1,13,14,28,29,39
770,15/01/2022,2,8,12,13,23,26
771,19/01/2022,8,11,14,19,27,38
772,22/01/2022,2,7,10,11,27,30
773,26/01/2022,4,8,13,18,22,24
774,29/01/2022,2,19,21,22,26,40
775,05/02/2022,1,5,18,25,26,27
776,09/02/2022,5,15,18,20,22,28
777,12/02/2022,6,12,13,15,16,28
778,16/02/2022,3,5,19,20,25,40
779,23/02/2022,1,9,13,31,37,38
780,26/02/2022,3,10,11,34,37,38
781,02/03/2022,18,22,30,32,35,39
782,05/03/2022,3,9,11,19,25,33
783,12/03/2022,2,12,19,22,30,36
784,16/03/2022,2,8,9,25,32,39
785,19/03/2022,2,4,8,13,17,31
786,23/03/2022,6,13,21,26,28,39
787,26/03/2022,1,2,5,11,20,25
788,30/03/2022,10,14,16,17,22,29
789,02/04/2022,11,13,21,25,27,36
790,06/04/2022,7,9,11,14,25,31
791,09/04/2022,9,14,19,37,39,40
792,13/04/2022,7,9,12,19,21,25
793,16/04/2022,12,15,17,27,31,40
794,20/04/2022,4,12,18,25,26,39
795,23/04/2022,4,12,17,21,39,40
796,27/04/2022,7,12,14,19,25,34
797,30/04/2022,3,18,23,27,30,39
798,04/05/2022,6,12,19,33,36,39
799,07/05/2022,4,26,27,30,31,35
800,11/05/2022,3,23,25,26,38,40
801,14/05/2022,5,8,16,22,25,39
802,18/05/2022,3,8,14,23,28,31
803,21/05/2022,1,12,18,25,27,32
804,25/05/2022,11,14,16,22,28,33
805,28/05/2022,6,12,15,17,18,37
806,01/06/2022,11,15,17,24,27,37
807,04/06/2022,3,5,10,17,26,32
808,08/06/2022,2,8,14,20,28,36
809,11/06/2022,5,7,8,9,19,38
810,15/06/2022,14,17,20,30,36,40
811,18/06/2022,2,12,16,25,30,40
812,22/06/2022,14,20,22,23,35,37
813,25/06/2022,2,12,13,23,24,25
814,29/06/2022,12,25,26,28,29,38
815,02/07/2022,4,5,20,25,28,39
816,06/07/2022,3,9,16,22,25,35
817,09/07/2022,2,4,9,11,12,34
818,13/07/2022,2,15,19,27,34,38
819,16/07/2022,11,20,24,28,31,37
820,20/07/2022,1,10,11,13,14,28
821,23/07/2022,3,8,16,32,38,40
822,27/07/2022,3,9,10,14,20,32
823,30/07/2022,5,8,21,35,38,39
824,03/08/2022,7,14,17,22,24,38
825,06/08/2022,6,9,10,15,21,26
826,10/08/2022,5,10,12,29,36,38
827,13/08/2022,1,3,5,19,30,40
828,17/08/2022,9,11,14,18,31,37
829,20/08/2022,10,11,13,18,26,35
830,24/08/2022,2,3,6,9,19,28
831,27/08/2022,9,17,19,25,28,40
832,31/08/2022,5,11,12,15,23,34
833,03/09/2022,2,7,11,32,33,36
834,07/09/2022,8,18,19,30,31,34
835,10/09/2022,6,10,23,24,36,39
836,14/09/2022,13,21,24,37,38,40
837,17/09/2022,3,6,11,28,34,38
838,21/09/2022,20,21,23,29,35,38
839,24/09/2022,1,9,10,14,27,40
840,28/09/2022,6,14,19,25,28,37
841,01/10/2022,10,11,17,20,23,34
842,05/10/2022,5,10,12,16,28,31
843,08/10/2022,4,9,13,21,22,28
844,12/10/2022,2,4,10,24,31,38
845,15/10/2022,1,5,14,19,21,34
846,19/10/2022,15,20,25,30,34,39
847,22/10/2022,3,10,22,26,35,38
848,26/10/2022,6,13,18,22,24,34
849,29/10/2022,5,15,16,18,20,29
850,02/11/2022,3,5,15,23,26,40
851,05/11/2022,3,13,16,19,24,40
852,09/11/2022,14,16,22,26,33,38
853,12/11/2022,13,14,16,20,23,29
854,16/11/2022,1,5,11,26,35,37
855,19/11/2022,6,11,29,33,35,38
856,23/11/2022,1,10,18,21,27,34
857,26/11/2022,4,6,8,12,23,40
858,30/11/2022,12,16,18,24,32,40
859,03/12/2022,9,10,15,16,20,36
860,07/12/2022,3,7,11,12,22,26
861,10/12/2022,15,18,22,24,32,35
862,14/12/2022,4,14,25,34,35,36
863,17/12/2022,2,12,14,21,24,33
864,21/12/2022,10,11,13,16,30,31
865,24/12/2022,4,5,8,13,30,35
866,28/12/2022,6,9,18,30,31,37
867,04/01/2023,7,12,15,21,30,34
868,07/01/2023,3,8,26,28,33,35
869,11/01/2023,1,5,14,18,31,35
870,14/01/2023,11,14,20,24,28,29
